N_eff,N,N_case,N_control,trait,biobank,ancestry,sex,N_ctrl
3949.48,40037,1013,39024,AFib,ALL-OF-US,AFR,ALL,
2708.21,32034,692,31342,AFib,ALL-OF-US,AMR,ALL,
24982.45,98232,6703,91529,AFib,ALL-OF-US,EUR,ALL,
4245.51,99058,1073,97985,AMD,ALL-OF-US,EUR,ALL,
22276,22276,,,AST,ALL-OF-US,AFR,ALL,
20472,20472,,,AST,ALL-OF-US,AMR,ALL,
67636,67636,,,AST,ALL-OF-US,EUR,ALL,
1299,1299,,,AST,ALL-OF-US,SAS,ALL,
16237.16,38914,4604,34310,Asth,ALL-OF-US,AFR,ALL,
11262.6,31245,3129,28116,Asth,ALL-OF-US,AMR,ALL,
804.78,3843,213,3630,Asth,ALL-OF-US,EAS,ALL,
37597.2,95689,10566,85123,Asth,ALL-OF-US,EUR,ALL,
49885,49885,,,BMI,ALL-OF-US,AFR,ALL,
38834,38834,,,BMI,ALL-OF-US,AMR,ALL,
5228,5228,,,BMI,ALL-OF-US,EAS,ALL,
111482,111482,,,BMI,ALL-OF-US,EUR,ALL,
2892,2892,,,BMI,ALL-OF-US,SAS,ALL,
5868.14,22268,1579,20689,BenCervUterNeo,ALL-OF-US,AFR,F,
2798.95,20807,725,20082,BenCervUterNeo,ALL-OF-US,AMR,F,
6496.02,58247,1672,56575,BenCervUterNeo,ALL-OF-US,EUR,F,
9832.26,38862,2637,36225,BenIntNeo,ALL-OF-US,AFR,ALL,
6129.58,31236,1616,29620,BenIntNeo,ALL-OF-US,AMR,ALL,
863.99,3778,230,3548,BenIntNeo,ALL-OF-US,EAS,ALL,
42702.49,92345,12319,80026,BenIntNeo,ALL-OF-US,EUR,ALL,
2720.7,23596,701,22895,BreastCanc,ALL-OF-US,AFR,F,
2086.79,21518,535,20983,BreastCanc,ALL-OF-US,AMR,F,
13607.38,59589,3622,55967,BreastCanc,ALL-OF-US,EUR,F,
3723.65,39419,954,38465,CAD,ALL-OF-US,AFR,ALL,
2208.22,31756,562,31194,CAD,ALL-OF-US,AMR,ALL,
9370,96968,2402,94566,CAD,ALL-OF-US,EUR,ALL,
9888.47,39287,2651,36636,COPD,ALL-OF-US,AFR,ALL,
3180.31,31826,816,31010,COPD,ALL-OF-US,AMR,ALL,
23906.95,96971,6399,90572,COPD,ALL-OF-US,EUR,ALL,
7987.23,39025,2111,36914,CRF,ALL-OF-US,AFR,ALL,
4628.51,31548,1203,30345,CRF,ALL-OF-US,AMR,ALL,
14669.22,96146,3819,92327,CRF,ALL-OF-US,EUR,ALL,
1557.82,98977,391,98586,CRP,ALL-OF-US,EUR,ALL,
928.41,60500,233,60267,CervCanc,ALL-OF-US,EUR,F,
1053.01,40213,265,39948,ColonRectCanc,ALL-OF-US,AFR,ALL,
834.51,32154,210,31944,ColonRectCanc,ALL-OF-US,AMR,ALL,
3865.45,98830,976,97854,ColonRectCanc,ALL-OF-US,EUR,ALL,
9641.12,22261,2750,19511,EFRMB,ALL-OF-US,AFR,F,
8174.66,20211,2307,17904,EFRMB,ALL-OF-US,AMR,F,
843,2355,234,2121,EFRMB,ALL-OF-US,EAS,F,
23665.62,56789,6709,50080,EFRMB,ALL-OF-US,EUR,F,
1176.98,23643,298,23345,FemInf,ALL-OF-US,AFR,F,
1062.61,21620,269,21351,FemInf,ALL-OF-US,AMR,F,
4161.56,60260,1059,59201,FemInf,ALL-OF-US,EUR,F,
4116.42,40051,1057,38994,Gout,ALL-OF-US,AFR,ALL,
1204.51,32159,304,31855,Gout,ALL-OF-US,AMR,ALL,
9950.9,98421,2554,95867,Gout,ALL-OF-US,EUR,ALL,
17124,17124,,,HDLC,ALL-OF-US,AFR,ALL,
12668,12668,,,HDLC,ALL-OF-US,AMR,ALL,
1799,1799,,,HDLC,ALL-OF-US,EAS,ALL,
53470,53470,,,HDLC,ALL-OF-US,EUR,ALL,
1131,1131,,,HDLC,ALL-OF-US,SAS,ALL,
9468.29,39712,2528,37184,HF,ALL-OF-US,AFR,ALL,
4345.3,31957,1126,30831,HF,ALL-OF-US,AMR,ALL,
18532,97841,4876,92965,HF,ALL-OF-US,EUR,ALL,
36396.52,37718,15329,22389,HTN,ALL-OF-US,AFR,ALL,
25367.77,30385,9019,21366,HTN,ALL-OF-US,AMR,ALL,
2373.98,3785,737,3048,HTN,ALL-OF-US,EAS,ALL,
