desc	phenotype_id	sex	phenotype_id_easy
Abdominal aortic aneurysm (AAA)	AAA	Both	abdominal_aortic_aneurysm_aaa
Acute appendicitis (AcApp)	AcApp	Both	acute_appendicitis_acapp
Acute lymphoid leukemia	AcuLymLeuk	Both	acute_lymphoid_leukemia
Adenomyosis	Adenomy	Female	adenomyosis
Age-related macular degeneration	AMD	Both	age_related_macular_degeneration
AL amyloidosis	ALamy	Both	al_amyloidosis
Alcohol use disorder	AUD	Both	alcohol_use_disorder
Alopecia Areata	AloAre	Both	alopecia_areata
Anorexia nervosa	AnoNer	Both	anorexia_nervosa
Aortic stenosis	AoSten	Both	aortic_stenosis
Asthma (Asthma)	Asth	Both	asthma_asthma
Atopic diseases	AtopDis	Both	atopic_diseases
Atrial Fibrillation	AFib	Both	atrial_fibrillation
Attention-deficit/hyperactivity disorder (ADHD)	ADHD	Both	attention_deficit_or_hyperactivity_disorder_adhd
Autism spectrum disorder (ASD)	ASD	Both	autism_spectrum_disorder_asd
B-cell chronic lymphocytic leukemia	BCLL	Both	b_cell_chronic_lymphocytic_leukemia
Benign and in situ cervical and uterine neoplasms	BenCervUterNeo	Female	benign_and_in_situ_cervical_and_uterine_neoplasms
Benign and in situ intestinal neoplasms	BenIntNeo	Both	benign_and_in_situ_intestinal_neoplasms
Benign nodular goiter	BenNodGoit	Both	benign_nodular_goiter
Bladder cancer	BladCanc	Both	bladder_cancer
Brain and central nervous system cancer	BrainCNSCanc	Both	brain_and_central_nervous_system_cancer
Breast cancer	BreastCanc	Female	breast_cancer
Brugada syndrome	BrugSynd	Both	brugada_syndrome
Bulimia nervosa	BuliNer	Both	bulimia_nervosa
Bullous pemphigoid	BullPemph	Both	bullous_pemphigoid
Cardiogenic shock	CarShock	Both	cardiogenic_shock
Cardiomyopathy(hypertrophic, obstructive) (HCM)	HCM	Both	cardiomyopathyhypertrophic_obstructive_hcm
Central retinal vein occlusion	CRVO	Both	central_retinal_vein_occlusion
Cervical cancer	CervCanc	Female	cervical_cancer
Chronic myeloid leukemia	CML	Both	chronic_myeloid_leukemia
Chronic obstructive pulmonary disease (COPD)	COPD	Both	chronic_obstructive_pulmonary_disease_copd
Chronic Renal Failure	CRF	Both	chronic_renal_failure
Coffin-Siris syndrome	CoffSirSynd	Both	coffin_siris_syndrome
Colon and rectum cancer	ColonRectCanc	Both	colon_and_rectum_cancer
Coronary artery disease	CAD	Both	coronary_artery_disease
Corpus callosum agenesis-neuronopathy syndrome	CCANS	Both	corpus_callosum_agenesis_neuronopathy_syndrome
Eating disorders	EatDis	Both	eating_disorders
Endocarditis	Endocar	Both	endocarditis
Endometriosis	Endometr	Female	endometriosis
Esophageal cancer	EsophCanc	Both	esophageal_cancer
