icd_code	sex	trait
I10	NA	Essential (primary) hypertension
E78	NA	Disorders of lipoprotein metabolism and other lipidemias
M25	NA	Other joint disorders
M19	NA	Other arthrosis
M79	NA	Other soft tissue disorders, not elsewhere classified
M54	NA	Dorsalgia
K21	NA	Gastro-esophageal reflux disease
K57	NA	Diverticular disease of intestine
J45	NA	Asthma
J22	NA	Unspecified acute lower respiratory infection
K29	NA	Gastritis and duodenitis
F32	NA	Major depressive disorder, single episode
K44	NA	Diaphragmatic hernia
N39	NA	Other disorders of urinary system
I25	NA	Chronic ischemic heart disease
H26	NA	Other cataract
E66	NA	Overweight and obesity
J06	NA	Acute upper respiratory infections of multiple and unspecified sites
L98	NA	Other disorders of skin and subcutaneous tissue
J30	NA	Vasomotor and allergic rhinitis
K64	NA	Hemorrhoids
L30	NA	Other and unspecified dermatitis
K62	NA	Other diseases of anus and rectum
M17	NA	Osteoarthritis of knee
M13	NA	Other arthritis
F17	NA	Nicotine dependence
I48	NA	Atrial fibrillation and flutter
E11	NA	Type 2 diabetes mellitus
F41	NA	Other anxiety disorders
J18	NA	Pneumonia, unspecified organism
K63	NA	Other diseases of intestine
E03	NA	Other hypothyroidism
N95	F	Menopausal and other perimenopausal disorders
K59	NA	Other functional intestinal disorders
I20	NA	Angina pectoris
M47	NA	Spondylosis
N40	M	Hyperplasia of prostate
H25	NA	Senile cataract
K58	NA	Irritable bowel syndrome
K80	NA	Cholelithiasis
M75	NA	Shoulder lesions
D64	NA	Other anemias
L03	NA	Cellulitis
K40	NA	Inguinal hernia
M77	NA	Enthesopathy
L82	NA	Seborrheic keratosis
B35	NA	Dermatophytosis
D50	NA	Iron deficiency anemia
H61	NA	Other disorders of external ear
I84	NA	Hemorrhoids
K52	NA	Other noninfective gastroenteritis and colitis
N18	NA	Chronic kidney disease
M16	NA	Osteoarthritis of hip
M51	NA	Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders
N92	F	Excessive, frequent and irregular menstruation
E87	NA	Other disorders of fluid, electrolyte and acid-base balance
J44	NA	Other chronic obstructive pulmonary disease
G43	NA	Migraine
M81	NA	Osteoporosis without current pathological fracture
A09	NA	Infectious gastroenteritis and colitis, unspecified
K92	NA	Other diseases of digestive system
N17	NA	Acute kidney failure
G56	NA	Mononeuropathies of upper limb
I83	NA	Varicose veins of lower extremities
M72	NA	Fibroblastic disorders
I51	NA	Complications and ill-defined descriptions of heart disease
I21	NA	Acute myocardial infarction
J01	NA	Acute sinusitis
K22	NA	Other diseases of esophagus
H10	NA	Conjunctivitis
J98	NA	Other respiratory disorders
J02	NA	Acute pharyngitis
B01	NA	Varicella
E14	NA	Unspecified diabetes mellitus
M23	NA	Internal derangement of knee
I95	NA	Hypotension
L57	NA	Skin changes due to chronic exposure to nonionizing radiation
M20	NA	Acquired deformities of fingers and toes
N32	NA	Other disorders of bladder
N81	F	Female genital prolapse
H60	NA	Otitis externa
K31	NA	Other diseases of stomach and duodenum
H91	NA	Other hearing loss
I50	NA	Heart failure
M10	NA	Gout
M65	NA	Synovitis and tenosynovitis
G47	NA	Sleep disorders
K30	NA	Functional dyspepsia
H40	NA	Glaucoma
J03	NA	Acute tonsillitis
I80	NA	Phlebitis and thrombophlebitis
K20	NA	Esophagitis
B96	NA	Other bacterial agents as the cause of diseases classified elsewhere
N30	NA	Cystitis
B02	NA	Zoster [herpes zoster]
H93	NA	Other disorders of ear, not elsewhere classified
H35	NA	Other retinal disorders
N84	F	Polyp of female genital tract
H02	NA	Other disorders of eyelid
J34	NA	Other disorders of nose and nasal sinuses
J90	NA	Pleural effusion, not elsewhere classified
B07	NA	Viral warts
A41	NA	Other sepsis
M48	NA	Other spondylopathies
M70	NA	Soft tissue disorders related to use, overuse and pressure
B05	NA	Measles
M15	NA	Polyosteoarthritis
M85	NA	Other disorders of bone density and structure
L72	NA	Follicular cysts of skin and subcutaneous tissue
N63	F	Unspecified lump in breast
K76	NA	Other diseases of liver
H92	NA	Otalgia and effusion of ear
L40	NA	Psoriasis
L08	NA	Other local infections of skin and subcutaneous tissue
H04	NA	Disorders of lacrimal system
H52	NA	Disorders of refraction and accommodation
O80	F	Single spontaneous delivery
I49	NA	Other cardiac arrhythmias
F43	NA	Reaction to severe stress, and adjustment disorders
I73	NA	Other peripheral vascular diseases
I44	NA	Atrioventricular and left bundle-branch block
H53	NA	Visual disturbances
J32	NA	Chronic sinusitis
L20	NA	Atopic dermatitis
N83	F	Noninflammatory disorders of ovary, fallopian tube and broad ligament
F10	NA	Mental and behavioural disorders due to use of alcohol
N64	F	Other disorders of breast
H81	NA	Disorders of vestibular function
I26	NA	Pulmonary embolism
B37	NA	Candidiasis
K25	NA	Gastric ulcer
M06	NA	Other rheumatoid arthritis
N60	F	Benign mammary dysplasia
I67	NA	Other cerebrovascular diseases
E86	NA	Volume depletion
N20	NA	Calculus of kidney and ureter
H00	NA	Hordeolum and chalazion
N89	F	Other specified noninflammatory disorders of vagina
L29	NA	Pruritus
L02	NA	Cutaneous abscess, furuncle and carbuncle
M67	NA	Other disorders of synovium and tendon
H83	NA	Other diseases of inner ear
N50	M	Other disorders of male genital organs
N94	F	Pain and other conditions associated with female genital organs and menstrual cycle
B34	NA	Viral infection of unspecified site
H43	NA	Disorders of vitreous body
L60	NA	Nail disorders
K56	NA	Paralytic ileus and intestinal obstruction without hernia
N28	NA	Other disorders of kidney and ureter, not elsewhere classified
B26	NA	Mumps
N93	F	Abnormal uterine and vaginal bleeding, not elsewhere classified
L50	NA	Urticaria
I63	NA	Cerebral infarction
E83	NA	Disorders of mineral metabolism
J11	NA	Influenza due to unidentified influenza virus
G45	NA	Transient cerebral ischemic attacks and related syndromes
H66	NA	Suppurative and unspecified otitis media
I64	NA	Stroke, not specified as hemorrhage or infarction
J40	NA	Bronchitis, not specified as acute or chronic
K26	NA	Duodenal ulcer
L21	NA	Seborrheic dermatitis
N80	F	Endometriosis
I35	NA	Nonrheumatic aortic valve disorders
B95	NA	Streptococcus as the cause of diseases classified elsewhere
K66	NA	Other disorders of peritoneum
G55	NA	Nerve root and plexus compressions in diseases classified elsewhere
I08	NA	Multiple valve diseases
K42	NA	Umbilical hernia
J96	NA	Respiratory failure, not elsewhere classified
H90	NA	Conductive and sensorineural hearing loss
F05	NA	Delirium, not induced by alcohol and other psychoactive substances
G40	NA	Epilepsy
I47	NA	Paroxysmal tachycardia
I45	NA	Other conduction disorders
H11	NA	Other disorders of conjunctiva
A04	NA	Other bacterial intestinal infections
N85	F	Other noninflammatory disorders of uterus, except cervix
E05	NA	Thyrotoxicosis [hyperthyroidism]
I34	NA	Nonrheumatic mitral valve disorders
M76	NA	Enthesopathies of lower limb, excluding foot
K04	NA	Diseases of pulp and periapical tissues
H57	NA	Other disorders of eye and adnexa
N87	F	Dysplasia of cervix uteri
J33	NA	Nasal polyp
M35	NA	Systemic involvement of connective tissue
K13	NA	Other diseases of lip and oral mucosa
K43	NA	Ventral hernia
